Empresa,Ticker,CIK,SIC,Periodo,Ejercicio,Formulario,Fecha_10K,t0,Namespace,Revenue,Assets,Liabilities_Total,Liabilities_Current,NetIncome,Receivables,Inventory,Cash,Equity,Usar_Modelo_Financiero,Motivo_Exclusion_Financiera
Manitex International,MNTX,0001302028,3559,t-3,2014,10-K,2015-03-16,2018-04-03,us-gaap,205249000.0,151504000.0,66513000.0,47930000.0,8077000.0,38165000.0,72734000.0,71000.0,84991000.0,True,
Pareteum,TEUM,0001084384,7373,t-1,2018,10-K,2019-03-18,2019-10-21,us-gaap,13547507.0,25326033.0,34696611.0,7537842.0,-12462979.0,2058284.0,,13537899.0,-9370578.0,True,
Pareteum,TEUM,0001084384,7373,t-2,2017,10-K,2018-03-30,2019-10-21,us-gaap,12855811.0,13045289.0,5000629.0,13292992.0,-31444704.0,614670.0,,931189.0,8044660.0,True,
Pareteum,TEUM,0001084384,7373,t-3,2016,10-K,2017-03-29,2019-10-21,us-gaap,31015453.0,25392386.0,14789140.0,14821800.0,-5006235.0,1112032.0,,1904160.0,10603246.0,True,
Power Solutions International,PSIX,0001137091,3510,t-1,2015,10-K,2016-02-26,2016-08-01,us-gaap,237842000.0,262637000.0,239903000.0,76048000.0,-18760000.0,81740000.0,93903000.0,8445000.0,22734000.0,True,
Power Solutions International,PSIX,0001137091,3510,t-2,2014,10-K,2015-03-13,2016-08-01,us-gaap,202342000.0,126619000.0,111295000.0,32385000.0,6702000.0,42730000.0,55986000.0,6561000.0,15324000.0,True,
Power Solutions International,PSIX,0001137091,3510,t-3,2013,10-K,2014-02-28,2016-08-01,us-gaap,154969000.0,90765000.0,75441000.0,32664000.0,4061000.0,37480000.0,39968000.0,6306000.0,15324000.0,True,
Revolution Lighting Technologies,RVLT,0000917523,3640,t-1,2017,10-K,2018-03-08,2018-10-19,us-gaap,129656000.0,217499000.0,140183000.0,48137000.0,-2382000.0,41100000.0,26678000.0,6033000.0,77316000.0,True,
Revolution Lighting Technologies,RVLT,0000917523,3640,t-2,2016,10-K,2017-03-09,2018-10-19,us-gaap,76840000.0,177635000.0,152179000.0,46024000.0,-5180000.0,23779000.0,22135000.0,1757000.0,25456000.0,True,
Revolution Lighting Technologies,RVLT,0000917523,3640,t-3,2015,10-K,2016-03-10,2018-10-19,us-gaap,26060000.0,126542000.0,105846000.0,27854000.0,-16821000.0,23779000.0,13673000.0,4434000.0,20696000.0,True,
Super Micro Computer,SMCI,0001375365,3571,t-1,2016,10-K,2016-08-26,2017-08-29,us-gaap,1467202000.0,1089809000.0,470888000.0,454107000.0,54157000.0,322594000.0,463493000.0,93038000.0,618921000.0,True,
Super Micro Computer,SMCI,0001375365,3571,t-2,2015,10-K,2015-09-10,2017-08-29,us-gaap,1162561000.0,796325000.0,327269000.0,310886000.0,21279000.0,212738000.0,315837000.0,80826000.0,469056000.0,True,
Super Micro Computer,SMCI,0001375365,3571,t-3,2014,10-K,2014-09-15,2017-08-29,us-gaap,1013874000.0,632257000.0,258714000.0,241664000.0,29853000.0,149340000.0,254170000.0,69943000.0,373543000.0,True,
Tupperware Brands,TUP,0001008654,3089,t-1,2020,10-K,2021-03-10,2021-08-01,us-gaap,2069700000.0,1262400000.0,1381800000.0,688900000.0,155900000.0,110700000.0,245200000.0,123200000.0,-119400000.0,True,
Tupperware Brands,TUP,0001008654,3089,t-2,2019,10-K,2020-03-12,2021-08-01,us-gaap,2255800000.0,1388000000.0,1175200000.0,759100000.0,-265400000.0,144700000.0,257700000.0,149000000.0,212800000.0,True,
Tupperware Brands,TUP,0001008654,3089,t-3,2018,10-K,2019-02-26,2021-08-01,us-gaap,2213100000.0,1587800000.0,1426800000.0,658800000.0,223600000.0,144400000.0,262200000.0,144100000.0,161000000.0,True,
VEREIT / ARCP,VER,0001507385,6798,t-1,2013,10-K,2014-02-27,2014-10-29,us-gaap,3970000.0,1965452000.0,433758000.0,,-4699000.0,11628000.0,,0.0,1531694000.0,True,
VEREIT / ARCP,VER,0001507385,6798,t-2,2012,10-K,2013-02-28,2014-10-29,us-gaap,3175000.0,131581000.0,77951000.0,,-2575000.0,2422000.0,,0.0,53630000.0,True,
VEREIT / ARCP,VER,0001507385,6798,t-3,2011,10-K,2012-03-19,2014-10-29,us-gaap,3175000.0,131581000.0,131581000.0,,-2575000.0,,,0.0,0.0,True,
